亜|sub-,Asia|ア
虹|rainbow|にじ
尿|urine|ニョウ
妊|pregnancy|ニン
忍|endure|ニン,しの-ぶ,しの-ばせる
寧|rather|ネイ
捻|twist|ネン
粘|sticky|ネン,ねば-る
悩|trouble|ノウ,なや-む,なや-ます
濃|concentrated|ノウ,こ-い
把|grasp|ハ
覇|hegemony|ハ
婆|old woman|バ
罵|insult|バ,ののし-る
杯|counter for cupfuls|ハイ,さかずき
排|repudiate|ハイ
廃|abolish|ハイ,すた-れる,すた-る
輩|comrade|ハイ
培|cultivate|バイ,つちか-う
陪|obeisance|バイ
媒|mediator|バイ
賠|compensation|バイ
伯|chief|ハク
拍|clap|ハク,（ヒョウ）
泊|overnight|ハク,と-まる,と-める
迫|urge|ハク,せま-る
剝 [7]|peel|ハク,は-がす,は-ぐ,は-がれる,は-げる
舶|liner|ハク
薄|dilute|ハク,うす-い,うす-める,うす-まる,うす-らぐ,うす-れる
漠|vague|バク
縛|truss|バク,しば-る
爆|explode|バク
箸 [7]|chopsticks|はし
肌|texture|はだ
鉢|bowl|ハチ,（ハツ）
髪|hair of the head|ハツ,かみ
伐|fell|バツ
抜|slip out|バツ,ぬ-く,ぬ-ける,ぬ-かす,ぬ-かる
罰|penalty|バツ,バチ
閥|clique|バツ
氾|spread out|ハン
帆|sail|ハン,ほ
汎|pan-|ハン
伴|consort|ハン,バン,ともな-う
畔|paddy-ridge|ハン
般|generally|ハン
販|marketing|ハン
斑|blemish|ハン
搬|conveyor|ハン
煩|anxiety|ハン,（ボン）,わずら-う,わずら-わす
頒|partition|ハン
範|pattern|ハン
繁|luxuriant|ハン
藩|clan|ハン
蛮|barbarian|バン
盤|tray|バン
妃|queen|ヒ
彼|he|ヒ,かれ,（かの）
披|expose|ヒ
卑|lowly|ヒ,いや-しい,いや-しむ,いや-しめる
疲|exhausted|ヒ,つか-れる
被|incur|ヒ,こうむ-る
扉|front door|ヒ,とびら
碑|tombstone|ヒ
罷|quit|ヒ
避|evade|ヒ,さ-ける
尾|tail|ビ,お
眉|eyebrow|ビ,（ミ）,まゆ
微|delicate|ビ
膝|knee|ひざ
肘|elbow|ひじ
匹|equal|ヒツ,ひき
泌|ooze|ヒツ,ヒ
姫|princess|ひめ
漂|drift|ヒョウ,ただよ-う
苗|seedling|ビョウ,なえ,（なわ）
描|sketch|ビョウ,えが-く,か-く
猫|cat|ビョウ,ねこ
浜|seacoast|ヒン,はま
賓|V.I.P.|ヒン
頻|repeatedly|ヒン
敏|cleverness|ビン
瓶|flower pot|ビン
扶|aid|フ
怖|dreadful|フ,こわ-い
附|affixed|フ
訃|obituary|フ
赴|proceed|フ,おもむ-く
浮|floating|フ,う-く,う-かれる,う-かぶ,う-かべる
符|token|フ
普|universal|フ
腐|rot|フ,くさ-る,くさ-れる,くさ-らす
敷|spread|フ,し-く
膚|skin|フ
賦|levy|フ
譜|musical score|フ
侮|scorn|ブ,あなど-る
舞|dance|ブ,ま-う,まい
封|seal|フウ,ホウ
伏|prostrated|フク,ふ-せる,ふ-す
幅|breadth|フク,はば
覆|capsize|フク,おお-う,くつがえ-す,くつがえ-る
払|pay|フツ,はら-う
沸|seethe|フツ,わ-く,わ-かす
紛|distract|フン,まぎ-れる,まぎ-らす,まぎ-らわす,まぎ-らわしい
雰|atmosphere|フン
噴|erupt|フン,ふ-く
墳|tomb|フン
憤|aroused|フン,いきどお-る
丙|third class|ヘイ
併|join|ヘイ,あわ-せる
柄|design|ヘイ,がら,え
塀|fence|ヘイ
幣|cash|ヘイ
弊|abuse|ヘイ
蔽 [7]|cover|ヘイ
餅 [8]|mochi rice cake|ヘイ,もち
壁|wall|ヘキ,かべ
璧|sphere|ヘキ
癖|mannerism|ヘキ,くせ
蔑|ignore|ベツ,さげす-む
偏|partial|ヘン,かたよ-る
遍|everywhere|ヘン
哺|suckle|ホ
捕|catch|ホ,と-らえる,と-らわれる,と-る,つか-まえる,つか-まる
舗|pavement|ホ
募|recruit|ボ,つの-る
慕|pining|ボ,した-う
簿|register|ボ
芳|perfume|ホウ,かんば-しい
